"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Belgium","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","72.14"
"Bulgaria","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","80.87"
"Czechia","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","61.28"
"Denmark","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","57.15"
"Germany (until 1990 former territory of the FRG)","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","69.02"
"Estonia","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Ireland","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","73.19"
"Greece","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","112.56"
"Spain","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","86.70"
"France","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","65.58"
"Croatia","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Italy","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","100.46"
"Cyprus","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Latvia","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Lithuania","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","117.40"
"Luxembourg","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Hungary","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","62.84"
"Malta","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","118.78"
"Netherlands","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","60.35"
"Austria","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","78.12"
"Poland","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Portugal","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","47.55"
"Romania","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","170.73"
"Slovenia","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","77.07"
"Slovakia","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","69.29"
"Finland","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Sweden","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","78.53"
"United Kingdom","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2000","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Belgium","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","78.13"
"Bulgaria","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","92.57"
"Czechia","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","75.80"
"Denmark","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","63.47"
"Germany (until 1990 former territory of the FRG)","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","77.21"
"Estonia","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Ireland","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","75.30"
"Greece","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","124.16"
"Spain","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","95.07"
"France","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","70.79"
"Croatia","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Italy","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","94.74"
"Cyprus","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Latvia","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Lithuania","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","125.76"
"Luxembourg","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","342.00"
"Hungary","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","75.40"
"Malta","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","119.11"
"Netherlands","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","71.90"
"Austria","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","81.25"
"Poland","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Portugal","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","48.62"
"Romania","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","221.25"
"Slovenia","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","82.23"
"Slovakia","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","77.18"
"Finland","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Sweden","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","74.11"
"United Kingdom","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2001","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Belgium","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","65.91"
"Bulgaria","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","90.32"
"Czechia","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","72.65"
"Denmark","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","60.02"
"Germany (until 1990 former territory of the FRG)","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","71.58"
"Estonia","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Ireland","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","76.01"
"Greece","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","116.57"
"Spain","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","74.15"
"France","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","68.01"
"Croatia","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Italy","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","86.73"
"Cyprus","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Latvia","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight",":"
"Lithuania","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","108.28"
"Luxembourg","2002","Euro","Chickens (live 1st choice) - prices per 100 kg live weight","258.00"
