"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Belgium","2000","Euro","Pigs (light) - prices per 100 kg live weight","118.91"
"Bulgaria","2000","Euro","Pigs (light) - prices per 100 kg live weight","83.45"
"Czechia","2000","Euro","Pigs (light) - prices per 100 kg live weight","99.05"
"Denmark","2000","Euro","Pigs (light) - prices per 100 kg live weight","91.36"
"Germany (until 1990 former territory of the FRG)","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Estonia","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Ireland","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Greece","2000","Euro","Pigs (light) - prices per 100 kg live weight","159.79"
"Spain","2000","Euro","Pigs (light) - prices per 100 kg live weight","105.41"
"France","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Croatia","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Italy","2000","Euro","Pigs (light) - prices per 100 kg live weight","178.45"
"Cyprus","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Latvia","2000","Euro","Pigs (light) - prices per 100 kg live weight","120.64"
"Lithuania","2000","Euro","Pigs (light) - prices per 100 kg live weight","126.73"
"Luxembourg","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Hungary","2000","Euro","Pigs (light) - prices per 100 kg live weight","91.14"
"Malta","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Netherlands","2000","Euro","Pigs (light) - prices per 100 kg live weight","96.65"
"Austria","2000","Euro","Pigs (light) - prices per 100 kg live weight","112.18"
"Poland","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Portugal","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Romania","2000","Euro","Pigs (light) - prices per 100 kg live weight","100.28"
"Slovenia","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Slovakia","2000","Euro","Pigs (light) - prices per 100 kg live weight","97.30"
"Finland","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Sweden","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"United Kingdom","2000","Euro","Pigs (light) - prices per 100 kg live weight","123.74"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2000","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Belgium","2001","Euro","Pigs (light) - prices per 100 kg live weight","140.43"
"Bulgaria","2001","Euro","Pigs (light) - prices per 100 kg live weight","123.74"
"Czechia","2001","Euro","Pigs (light) - prices per 100 kg live weight","127.37"
"Denmark","2001","Euro","Pigs (light) - prices per 100 kg live weight","108.83"
"Germany (until 1990 former territory of the FRG)","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Estonia","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Ireland","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Greece","2001","Euro","Pigs (light) - prices per 100 kg live weight","195.63"
"Spain","2001","Euro","Pigs (light) - prices per 100 kg live weight","130.26"
"France","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Croatia","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Italy","2001","Euro","Pigs (light) - prices per 100 kg live weight","223.59"
"Cyprus","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Latvia","2001","Euro","Pigs (light) - prices per 100 kg live weight","136.90"
"Lithuania","2001","Euro","Pigs (light) - prices per 100 kg live weight","138.18"
"Luxembourg","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Hungary","2001","Euro","Pigs (light) - prices per 100 kg live weight","129.96"
"Malta","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Netherlands","2001","Euro","Pigs (light) - prices per 100 kg live weight","104.45"
"Austria","2001","Euro","Pigs (light) - prices per 100 kg live weight","134.80"
"Poland","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Portugal","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Romania","2001","Euro","Pigs (light) - prices per 100 kg live weight","158.50"
"Slovenia","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Slovakia","2001","Euro","Pigs (light) - prices per 100 kg live weight","111.22"
"Finland","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Sweden","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"United Kingdom","2001","Euro","Pigs (light) - prices per 100 kg live weight","127.57"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2001","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Belgium","2002","Euro","Pigs (light) - prices per 100 kg live weight","113.46"
"Bulgaria","2002","Euro","Pigs (light) - prices per 100 kg live weight","98.79"
"Czechia","2002","Euro","Pigs (light) - prices per 100 kg live weight","107.13"
"Denmark","2002","Euro","Pigs (light) - prices per 100 kg live weight","86.00"
"Germany (until 1990 former territory of the FRG)","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Estonia","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Ireland","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Greece","2002","Euro","Pigs (light) - prices per 100 kg live weight","167.41"
"Spain","2002","Euro","Pigs (light) - prices per 100 kg live weight","103.74"
"France","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Croatia","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Italy","2002","Euro","Pigs (light) - prices per 100 kg live weight","184.63"
"Cyprus","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Latvia","2002","Euro","Pigs (light) - prices per 100 kg live weight","105.47"
"Lithuania","2002","Euro","Pigs (light) - prices per 100 kg live weight","104.90"
"Luxembourg","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Hungary","2002","Euro","Pigs (light) - prices per 100 kg live weight","183.45"
"Malta","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Netherlands","2002","Euro","Pigs (light) - prices per 100 kg live weight","86.90"
"Austria","2002","Euro","Pigs (light) - prices per 100 kg live weight","106.78"
"Poland","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Portugal","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Romania","2002","Euro","Pigs (light) - prices per 100 kg live weight","129.87"
"Slovenia","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Slovakia","2002","Euro","Pigs (light) - prices per 100 kg live weight","104.84"
"Finland","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Sweden","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"United Kingdom","2002","Euro","Pigs (light) - prices per 100 kg live weight","110.71"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2002","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Belgium","2003","Euro","Pigs (light) - prices per 100 kg live weight","105.01"
"Bulgaria","2003","Euro","Pigs (light) - prices per 100 kg live weight","84.98"
"Czechia","2003","Euro","Pigs (light) - prices per 100 kg live weight","93.70"
"Denmark","2003","Euro","Pigs (light) - prices per 100 kg live weight","74.29"
"Germany (until 1990 former territory of the FRG)","2003","Euro","Pigs (light) - prices per 100 kg live weight",":"
"Estonia","2003","Euro","Pigs (light) - prices per 100 kg live weight",":"
