"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Belgium","2000","Euro","Heifers - prices per 100 kg live weight","140.78"
"Bulgaria","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Czechia","2000","Euro","Heifers - prices per 100 kg live weight","88.12"
"Denmark","2000","Euro","Heifers - prices per 100 kg live weight","114.30"
"Germany (until 1990 former territory of the FRG)","2000","Euro","Heifers - prices per 100 kg live weight","148.28"
"Estonia","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Ireland","2000","Euro","Heifers - prices per 100 kg live weight","125.71"
"Greece","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Spain","2000","Euro","Heifers - prices per 100 kg live weight","148.98"
"France","2000","Euro","Heifers - prices per 100 kg live weight","187.04"
"Croatia","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Italy","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Cyprus","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Latvia","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Lithuania","2000","Euro","Heifers - prices per 100 kg live weight","54.26"
"Luxembourg","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Hungary","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Malta","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Netherlands","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Austria","2000","Euro","Heifers - prices per 100 kg live weight","129.64"
"Poland","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Portugal","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Romania","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Slovenia","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Slovakia","2000","Euro","Heifers - prices per 100 kg live weight","83.09"
"Finland","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Sweden","2000","Euro","Heifers - prices per 100 kg live weight",":"
"United Kingdom","2000","Euro","Heifers - prices per 100 kg live weight","146.06"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2000","Euro","Heifers - prices per 100 kg live weight",":"
"Belgium","2001","Euro","Heifers - prices per 100 kg live weight","102.04"
"Bulgaria","2001","Euro","Heifers - prices per 100 kg live weight","69.64"
"Czechia","2001","Euro","Heifers - prices per 100 kg live weight","78.06"
"Denmark","2001","Euro","Heifers - prices per 100 kg live weight","104.94"
"Germany (until 1990 former territory of the FRG)","2001","Euro","Heifers - prices per 100 kg live weight","108.91"
"Estonia","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Ireland","2001","Euro","Heifers - prices per 100 kg live weight","122.00"
"Greece","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Spain","2001","Euro","Heifers - prices per 100 kg live weight","127.34"
"France","2001","Euro","Heifers - prices per 100 kg live weight","176.35"
"Croatia","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Italy","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Cyprus","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Latvia","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Lithuania","2001","Euro","Heifers - prices per 100 kg live weight","85.03"
"Luxembourg","2001","Euro","Heifers - prices per 100 kg live weight","153.00"
"Hungary","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Malta","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Netherlands","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Austria","2001","Euro","Heifers - prices per 100 kg live weight","107.58"
"Poland","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Portugal","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Romania","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Slovenia","2001","Euro","Heifers - prices per 100 kg live weight","119.69"
"Slovakia","2001","Euro","Heifers - prices per 100 kg live weight","78.52"
"Finland","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Sweden","2001","Euro","Heifers - prices per 100 kg live weight",":"
"United Kingdom","2001","Euro","Heifers - prices per 100 kg live weight","156.09"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2001","Euro","Heifers - prices per 100 kg live weight",":"
"Belgium","2002","Euro","Heifers - prices per 100 kg live weight","120.78"
"Bulgaria","2002","Euro","Heifers - prices per 100 kg live weight","76.95"
"Czechia","2002","Euro","Heifers - prices per 100 kg live weight","89.31"
"Denmark","2002","Euro","Heifers - prices per 100 kg live weight","102.82"
"Germany (until 1990 former territory of the FRG)","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Estonia","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Ireland","2002","Euro","Heifers - prices per 100 kg live weight","125.76"
"Greece","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Spain","2002","Euro","Heifers - prices per 100 kg live weight","146.10"
"France","2002","Euro","Heifers - prices per 100 kg live weight","160.80"
"Croatia","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Italy","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Cyprus","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Latvia","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Lithuania","2002","Euro","Heifers - prices per 100 kg live weight","78.22"
"Luxembourg","2002","Euro","Heifers - prices per 100 kg live weight","148.50"
"Hungary","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Malta","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Netherlands","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Austria","2002","Euro","Heifers - prices per 100 kg live weight","117.23"
"Poland","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Portugal","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Romania","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Slovenia","2002","Euro","Heifers - prices per 100 kg live weight","116.09"
"Slovakia","2002","Euro","Heifers - prices per 100 kg live weight","79.24"
"Finland","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Sweden","2002","Euro","Heifers - prices per 100 kg live weight",":"
"United Kingdom","2002","Euro","Heifers - prices per 100 kg live weight","148.82"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2002","Euro","Heifers - prices per 100 kg live weight",":"
"Belgium","2003","Euro","Heifers - prices per 100 kg live weight","176.91"
"Bulgaria","2003","Euro","Heifers - prices per 100 kg live weight","61.28"
"Czechia","2003","Euro","Heifers - prices per 100 kg live weight","82.06"
"Denmark","2003","Euro","Heifers - prices per 100 kg live weight","102.82"
"Germany (until 1990 former territory of the FRG)","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Estonia","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Ireland","2003","Euro","Heifers - prices per 100 kg live weight","128.70"
"Greece","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Spain","2003","Euro","Heifers - prices per 100 kg live weight","143.93"
"France","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Croatia","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Italy","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Cyprus","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Latvia","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Lithuania","2003","Euro","Heifers - prices per 100 kg live weight","48.51"
"Luxembourg","2003","Euro","Heifers - prices per 100 kg live weight","157.10"
"Hungary","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Malta","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Netherlands","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Austria","2003","Euro","Heifers - prices per 100 kg live weight","118.59"
"Poland","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Portugal","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Romania","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Slovenia","2003","Euro","Heifers - prices per 100 kg live weight","109.75"
"Slovakia","2003","Euro","Heifers - prices per 100 kg live weight","80.05"
"Finland","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Sweden","2003","Euro","Heifers - prices per 100 kg live weight",":"
"United Kingdom","2003","Euro","Heifers - prices per 100 kg live weight","140.09"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2003","Euro","Heifers - prices per 100 kg live weight",":"
"Belgium","2004","Euro","Heifers - prices per 100 kg live weight","185.06"
"Bulgaria","2004","Euro","Heifers - prices per 100 kg live weight","75.58"
"Czechia","2004","Euro","Heifers - prices per 100 kg live weight","85.48"
"Denmark","2004","Euro","Heifers - prices per 100 kg live weight","110.49"
"Germany (until 1990 former territory of the FRG)","2004","Euro","Heifers - prices per 100 kg live weight",":"
"Estonia","2004","Euro","Heifers - prices per 100 kg live weight",":"
"Ireland","2004","Euro","Heifers - prices per 100 kg live weight","140.06"
"Greece","2004","Euro","Heifers - prices per 100 kg live weight",":"
"Spain","2004","Euro","Heifers - prices per 100 kg live weight","146.40"
"France","2004","Euro","Heifers - prices per 100 kg live weight",":"
"Croatia","2004","Euro","Heifers - prices per 100 kg live weight",":"
"Italy","2004","Euro","Heifers - prices per 100 kg live weight",":"
