"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Belgium","2000","Euro","Young cattle - prices per 100 kg live weight","162.59"
"Bulgaria","2000","Euro","Young cattle - prices per 100 kg live weight","54.52"
"Czechia","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Denmark","2000","Euro","Young cattle - prices per 100 kg live weight","119.27"
"Germany (until 1990 former territory of the FRG)","2000","Euro","Young cattle - prices per 100 kg live weight","541.46"
"Estonia","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Ireland","2000","Euro","Young cattle - prices per 100 kg live weight","141.14"
"Greece","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Spain","2000","Euro","Young cattle - prices per 100 kg live weight","180.78"
"France","2000","Euro","Young cattle - prices per 100 kg live weight","167.25"
"Croatia","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Italy","2000","Euro","Young cattle - prices per 100 kg live weight","195.08"
"Cyprus","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Latvia","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Lithuania","2000","Euro","Young cattle - prices per 100 kg live weight","59.62"
"Luxembourg","2000","Euro","Young cattle - prices per 100 kg live weight","179.30"
"Hungary","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Malta","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Netherlands","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Austria","2000","Euro","Young cattle - prices per 100 kg live weight","156.27"
"Poland","2000","Euro","Young cattle - prices per 100 kg live weight","78.56"
"Portugal","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Romania","2000","Euro","Young cattle - prices per 100 kg live weight","69.61"
"Slovenia","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Slovakia","2000","Euro","Young cattle - prices per 100 kg live weight","80.23"
"Finland","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Sweden","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"United Kingdom","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2000","Euro","Young cattle - prices per 100 kg live weight",":"
"Belgium","2001","Euro","Young cattle - prices per 100 kg live weight","117.90"
"Bulgaria","2001","Euro","Young cattle - prices per 100 kg live weight","79.79"
"Czechia","2001","Euro","Young cattle - prices per 100 kg live weight","129.40"
"Denmark","2001","Euro","Young cattle - prices per 100 kg live weight","100.11"
"Germany (until 1990 former territory of the FRG)","2001","Euro","Young cattle - prices per 100 kg live weight","313.00"
"Estonia","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Ireland","2001","Euro","Young cattle - prices per 100 kg live weight","138.29"
"Greece","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Spain","2001","Euro","Young cattle - prices per 100 kg live weight","158.79"
"France","2001","Euro","Young cattle - prices per 100 kg live weight","138.28"
"Croatia","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Italy","2001","Euro","Young cattle - prices per 100 kg live weight","188.39"
"Cyprus","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Latvia","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Lithuania","2001","Euro","Young cattle - prices per 100 kg live weight","93.40"
"Luxembourg","2001","Euro","Young cattle - prices per 100 kg live weight","163.10"
"Hungary","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Malta","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Netherlands","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Austria","2001","Euro","Young cattle - prices per 100 kg live weight","133.85"
"Poland","2001","Euro","Young cattle - prices per 100 kg live weight","82.78"
"Portugal","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Romania","2001","Euro","Young cattle - prices per 100 kg live weight","83.14"
"Slovenia","2001","Euro","Young cattle - prices per 100 kg live weight","131.21"
"Slovakia","2001","Euro","Young cattle - prices per 100 kg live weight","78.91"
"Finland","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Sweden","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"United Kingdom","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2001","Euro","Young cattle - prices per 100 kg live weight",":"
"Belgium","2002","Euro","Young cattle - prices per 100 kg live weight","140.57"
"Bulgaria","2002","Euro","Young cattle - prices per 100 kg live weight","84.10"
"Czechia","2002","Euro","Young cattle - prices per 100 kg live weight","143.65"
"Denmark","2002","Euro","Young cattle - prices per 100 kg live weight","100.80"
"Germany (until 1990 former territory of the FRG)","2002","Euro","Young cattle - prices per 100 kg live weight","419.00"
"Estonia","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Ireland","2002","Euro","Young cattle - prices per 100 kg live weight","140.93"
"Greece","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Spain","2002","Euro","Young cattle - prices per 100 kg live weight","195.17"
"France","2002","Euro","Young cattle - prices per 100 kg live weight","163.03"
"Croatia","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Italy","2002","Euro","Young cattle - prices per 100 kg live weight","199.85"
"Cyprus","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Latvia","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Lithuania","2002","Euro","Young cattle - prices per 100 kg live weight","78.97"
"Luxembourg","2002","Euro","Young cattle - prices per 100 kg live weight","140.00"
"Hungary","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Malta","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Netherlands","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Austria","2002","Euro","Young cattle - prices per 100 kg live weight","146.38"
"Poland","2002","Euro","Young cattle - prices per 100 kg live weight","76.67"
"Portugal","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Romania","2002","Euro","Young cattle - prices per 100 kg live weight","88.29"
"Slovenia","2002","Euro","Young cattle - prices per 100 kg live weight","131.36"
"Slovakia","2002","Euro","Young cattle - prices per 100 kg live weight","80.08"
"Finland","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Sweden","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"United Kingdom","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2002","Euro","Young cattle - prices per 100 kg live weight",":"
"Belgium","2003","Euro","Young cattle - prices per 100 kg live weight","216.61"
"Bulgaria","2003","Euro","Young cattle - prices per 100 kg live weight","71.73"
"Czechia","2003","Euro","Young cattle - prices per 100 kg live weight","134.50"
"Denmark","2003","Euro","Young cattle - prices per 100 kg live weight","100.80"
"Germany (until 1990 former territory of the FRG)","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Estonia","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Ireland","2003","Euro","Young cattle - prices per 100 kg live weight","144.87"
"Greece","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Spain","2003","Euro","Young cattle - prices per 100 kg live weight","194.78"
"France","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Croatia","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Italy","2003","Euro","Young cattle - prices per 100 kg live weight","193.01"
"Cyprus","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Latvia","2003","Euro","Young cattle - prices per 100 kg live weight","55.08"
"Lithuania","2003","Euro","Young cattle - prices per 100 kg live weight","58.79"
"Luxembourg","2003","Euro","Young cattle - prices per 100 kg live weight","175.30"
"Hungary","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Malta","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Netherlands","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Austria","2003","Euro","Young cattle - prices per 100 kg live weight","147.48"
"Poland","2003","Euro","Young cattle - prices per 100 kg live weight","64.86"
"Portugal","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Romania","2003","Euro","Young cattle - prices per 100 kg live weight","70.49"
"Slovenia","2003","Euro","Young cattle - prices per 100 kg live weight","126.72"
"Slovakia","2003","Euro","Young cattle - prices per 100 kg live weight","77.23"
"Finland","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Sweden","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"United Kingdom","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2003","Euro","Young cattle - prices per 100 kg live weight",":"
"Belgium","2004","Euro","Young cattle - prices per 100 kg live weight","123.24"
"Bulgaria","2004","Euro","Young cattle - prices per 100 kg live weight","71.68"
"Czechia","2004","Euro","Young cattle - prices per 100 kg live weight","148.68"
"Denmark","2004","Euro","Young cattle - prices per 100 kg live weight","107.26"
"Germany (until 1990 former territory of the FRG)","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Estonia","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Ireland","2004","Euro","Young cattle - prices per 100 kg live weight","154.12"
"Greece","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Spain","2004","Euro","Young cattle - prices per 100 kg live weight","186.32"
"France","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Croatia","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Italy","2004","Euro","Young cattle - prices per 100 kg live weight","187.49"
"Cyprus","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Latvia","2004","Euro","Young cattle - prices per 100 kg live weight","59.02"
"Lithuania","2004","Euro","Young cattle - prices per 100 kg live weight","71.23"
"Luxembourg","2004","Euro","Young cattle - prices per 100 kg live weight","176.40"
"Hungary","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Malta","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Netherlands","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Austria","2004","Euro","Young cattle - prices per 100 kg live weight","147.55"
"Poland","2004","Euro","Young cattle - prices per 100 kg live weight","81.45"
"Portugal","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Romania","2004","Euro","Young cattle - prices per 100 kg live weight","65.25"
"Slovenia","2004","Euro","Young cattle - prices per 100 kg live weight","125.88"
"Slovakia","2004","Euro","Young cattle - prices per 100 kg live weight","82.85"
"Finland","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Sweden","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"United Kingdom","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2004","Euro","Young cattle - prices per 100 kg live weight",":"
"Belgium","2005","Euro","Young cattle - prices per 100 kg live weight","139.65"
"Bulgaria","2005","Euro","Young cattle - prices per 100 kg live weight","90.44"
"Czechia","2005","Euro","Young cattle - prices per 100 kg live weight","201.46"
"Denmark","2005","Euro","Young cattle - prices per 100 kg live weight","125.88"
"Germany (until 1990 former territory of the FRG)","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Estonia","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Ireland","2005","Euro","Young cattle - prices per 100 kg live weight","137.46"
"Greece","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Spain","2005","Euro","Young cattle - prices per 100 kg live weight","199.54"
"France","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Croatia","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Italy","2005","Euro","Young cattle - prices per 100 kg live weight","210.23"
"Cyprus","2005","Euro","Young cattle - prices per 100 kg live weight","140.11"
"Latvia","2005","Euro","Young cattle - prices per 100 kg live weight","76.92"
"Lithuania","2005","Euro","Young cattle - prices per 100 kg live weight","93.30"
"Luxembourg","2005","Euro","Young cattle - prices per 100 kg live weight","181.44"
"Hungary","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Malta","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Netherlands","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Austria","2005","Euro","Young cattle - prices per 100 kg live weight","165.48"
"Poland","2005","Euro","Young cattle - prices per 100 kg live weight","109.03"
"Portugal","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Romania","2005","Euro","Young cattle - prices per 100 kg live weight","93.35"
"Slovenia","2005","Euro","Young cattle - prices per 100 kg live weight","140.38"
"Slovakia","2005","Euro","Young cattle - prices per 100 kg live weight","98.71"
"Finland","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Sweden","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"United Kingdom","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2005","Euro","Young cattle - prices per 100 kg live weight",":"
"Belgium","2006","Euro","Young cattle - prices per 100 kg live weight","160.53"
"Bulgaria","2006","Euro","Young cattle - prices per 100 kg live weight","89.19"
"Czechia","2006","Euro","Young cattle - prices per 100 kg live weight","232.87"
"Denmark","2006","Euro","Young cattle - prices per 100 kg live weight","135.67"
"Germany (until 1990 former territory of the FRG)","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Estonia","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Ireland","2006","Euro","Young cattle - prices per 100 kg live weight","144.45"
"Greece","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Spain","2006","Euro","Young cattle - prices per 100 kg live weight","216.87"
"France","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Croatia","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Italy","2006","Euro","Young cattle - prices per 100 kg live weight","221.19"
"Cyprus","2006","Euro","Young cattle - prices per 100 kg live weight","134.98"
"Latvia","2006","Euro","Young cattle - prices per 100 kg live weight","80.75"
"Lithuania","2006","Euro","Young cattle - prices per 100 kg live weight","101.71"
"Luxembourg","2006","Euro","Young cattle - prices per 100 kg live weight","192.60"
"Hungary","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Malta","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Netherlands","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Austria","2006","Euro","Young cattle - prices per 100 kg live weight","172.08"
"Poland","2006","Euro","Young cattle - prices per 100 kg live weight","113.52"
"Portugal","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Romania","2006","Euro","Young cattle - prices per 100 kg live weight","99.84"
"Slovenia","2006","Euro","Young cattle - prices per 100 kg live weight","145.53"
"Slovakia","2006","Euro","Young cattle - prices per 100 kg live weight","103.53"
"Finland","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Sweden","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"United Kingdom","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2006","Euro","Young cattle - prices per 100 kg live weight",":"
"Belgium","2007","Euro","Young cattle - prices per 100 kg live weight","152.66"
"Bulgaria","2007","Euro","Young cattle - prices per 100 kg live weight","93.02"
"Czechia","2007","Euro","Young cattle - prices per 100 kg live weight","226.90"
"Denmark","2007","Euro","Young cattle - prices per 100 kg live weight","135.07"
"Germany (until 1990 former territory of the FRG)","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Estonia","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Ireland","2007","Euro","Young cattle - prices per 100 kg live weight","143.46"
"Greece","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Spain","2007","Euro","Young cattle - prices per 100 kg live weight","213.89"
"France","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Croatia","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Italy","2007","Euro","Young cattle - prices per 100 kg live weight","206.78"
"Cyprus","2007","Euro","Young cattle - prices per 100 kg live weight","133.27"
"Latvia","2007","Euro","Young cattle - prices per 100 kg live weight","77.29"
"Lithuania","2007","Euro","Young cattle - prices per 100 kg live weight","97.02"
"Luxembourg","2007","Euro","Young cattle - prices per 100 kg live weight","187.00"
"Hungary","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Malta","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Netherlands","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Austria","2007","Euro","Young cattle - prices per 100 kg live weight","166.59"
"Poland","2007","Euro","Young cattle - prices per 100 kg live weight","111.42"
"Portugal","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Romania","2007","Euro","Young cattle - prices per 100 kg live weight","119.70"
"Slovenia","2007","Euro","Young cattle - prices per 100 kg live weight","145.94"
"Slovakia","2007","Euro","Young cattle - prices per 100 kg live weight","105.46"
"Finland","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Sweden","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"United Kingdom","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2007","Euro","Young cattle - prices per 100 kg live weight",":"
"Belgium","2008","Euro","Young cattle - prices per 100 kg live weight","161.04"
"Bulgaria","2008","Euro","Young cattle - prices per 100 kg live weight","99.12"
"Czechia","2008","Euro","Young cattle - prices per 100 kg live weight","208.45"
"Denmark","2008","Euro","Young cattle - prices per 100 kg live weight","149.95"
"Germany (until 1990 former territory of the FRG)","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Estonia","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Ireland","2008","Euro","Young cattle - prices per 100 kg live weight","158.52"
"Greece","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Spain","2008","Euro","Young cattle - prices per 100 kg live weight","209.74"
"France","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Croatia","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Italy","2008","Euro","Young cattle - prices per 100 kg live weight","221.67"
"Cyprus","2008","Euro","Young cattle - prices per 100 kg live weight","137.15"
"Latvia","2008","Euro","Young cattle - prices per 100 kg live weight","92.53"
"Lithuania","2008","Euro","Young cattle - prices per 100 kg live weight","117.76"
"Luxembourg","2008","Euro","Young cattle - prices per 100 kg live weight","194.90"
"Hungary","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Malta","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Netherlands","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Austria","2008","Euro","Young cattle - prices per 100 kg live weight","178.38"
"Poland","2008","Euro","Young cattle - prices per 100 kg live weight","123.83"
"Portugal","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Romania","2008","Euro","Young cattle - prices per 100 kg live weight","117.68"
"Slovenia","2008","Euro","Young cattle - prices per 100 kg live weight","153.75"
"Slovakia","2008","Euro","Young cattle - prices per 100 kg live weight","112.56"
"Finland","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Sweden","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"United Kingdom","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2008","Euro","Young cattle - prices per 100 kg live weight",":"
"Belgium","2009","Euro","Young cattle - prices per 100 kg live weight","152.56"
"Bulgaria","2009","Euro","Young cattle - prices per 100 kg live weight","109.09"
"Czechia","2009","Euro","Young cattle - prices per 100 kg live weight","219.41"
"Denmark","2009","Euro","Young cattle - prices per 100 kg live weight","145.17"
