"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Belgium","2000","Euro","Sheep - prices per 100 kg live weight","81.41"
"Bulgaria","2000","Euro","Sheep - prices per 100 kg live weight","46.80"
"Czechia","2000","Euro","Sheep - prices per 100 kg live weight","53.02"
"Denmark","2000","Euro","Sheep - prices per 100 kg live weight","21.20"
"Germany (until 1990 former territory of the FRG)","2000","Euro","Sheep - prices per 100 kg live weight","34.21"
"Estonia","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Ireland","2000","Euro","Sheep - prices per 100 kg live weight","133.70"
"Greece","2000","Euro","Sheep - prices per 100 kg live weight","107.40"
"Spain","2000","Euro","Sheep - prices per 100 kg live weight","29.40"
"France","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Croatia","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Italy","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Cyprus","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Latvia","2000","Euro","Sheep - prices per 100 kg live weight","82.40"
"Lithuania","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Luxembourg","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Hungary","2000","Euro","Sheep - prices per 100 kg live weight","88.56"
"Malta","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Netherlands","2000","Euro","Sheep - prices per 100 kg live weight","125.70"
"Austria","2000","Euro","Sheep - prices per 100 kg live weight","76.00"
"Poland","2000","Euro","Sheep - prices per 100 kg live weight","139.33"
"Portugal","2000","Euro","Sheep - prices per 100 kg live weight","98.74"
"Romania","2000","Euro","Sheep - prices per 100 kg live weight","74.98"
"Slovenia","2000","Euro","Sheep - prices per 100 kg live weight","100.35"
"Slovakia","2000","Euro","Sheep - prices per 100 kg live weight","117.79"
"Finland","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Sweden","2000","Euro","Sheep - prices per 100 kg live weight",":"
"United Kingdom","2000","Euro","Sheep - prices per 100 kg live weight","79.03"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2000","Euro","Sheep - prices per 100 kg live weight",":"
"Belgium","2001","Euro","Sheep - prices per 100 kg live weight","98.31"
"Bulgaria","2001","Euro","Sheep - prices per 100 kg live weight","66.54"
"Czechia","2001","Euro","Sheep - prices per 100 kg live weight","52.84"
"Denmark","2001","Euro","Sheep - prices per 100 kg live weight","15.16"
"Germany (until 1990 former territory of the FRG)","2001","Euro","Sheep - prices per 100 kg live weight","45.96"
"Estonia","2001","Euro","Sheep - prices per 100 kg live weight",":"
"Ireland","2001","Euro","Sheep - prices per 100 kg live weight","186.51"
"Greece","2001","Euro","Sheep - prices per 100 kg live weight","117.07"
"Spain","2001","Euro","Sheep - prices per 100 kg live weight","31.37"
"France","2001","Euro","Sheep - prices per 100 kg live weight",":"
"Croatia","2001","Euro","Sheep - prices per 100 kg live weight",":"
"Italy","2001","Euro","Sheep - prices per 100 kg live weight",":"
"Cyprus","2001","Euro","Sheep - prices per 100 kg live weight",":"
"Latvia","2001","Euro","Sheep - prices per 100 kg live weight","107.14"
"Lithuania","2001","Euro","Sheep - prices per 100 kg live weight","124.78"
"Luxembourg","2001","Euro","Sheep - prices per 100 kg live weight",":"
"Hungary","2001","Euro","Sheep - prices per 100 kg live weight","97.45"
"Malta","2001","Euro","Sheep - prices per 100 kg live weight",":"
"Netherlands","2001","Euro","Sheep - prices per 100 kg live weight","105.30"
"Austria","2001","Euro","Sheep - prices per 100 kg live weight","77.00"
"Poland","2001","Euro","Sheep - prices per 100 kg live weight","159.20"
"Portugal","2001","Euro","Sheep - prices per 100 kg live weight","93.10"
"Romania","2001","Euro","Sheep - prices per 100 kg live weight","105.06"
"Slovenia","2001","Euro","Sheep - prices per 100 kg live weight","136.26"
"Slovakia","2001","Euro","Sheep - prices per 100 kg live weight","113.76"
"Finland","2001","Euro","Sheep - prices per 100 kg live weight",":"
"Sweden","2001","Euro","Sheep - prices per 100 kg live weight",":"
"United Kingdom","2001","Euro","Sheep - prices per 100 kg live weight","104.93"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2001","Euro","Sheep - prices per 100 kg live weight",":"
"Belgium","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Bulgaria","2002","Euro","Sheep - prices per 100 kg live weight","63.33"
"Czechia","2002","Euro","Sheep - prices per 100 kg live weight","57.02"
"Denmark","2002","Euro","Sheep - prices per 100 kg live weight","15.21"
"Germany (until 1990 former territory of the FRG)","2002","Euro","Sheep - prices per 100 kg live weight","67.39"
"Estonia","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Ireland","2002","Euro","Sheep - prices per 100 kg live weight","162.61"
"Greece","2002","Euro","Sheep - prices per 100 kg live weight","121.53"
"Spain","2002","Euro","Sheep - prices per 100 kg live weight","36.17"
"France","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Croatia","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Italy","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Cyprus","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Latvia","2002","Euro","Sheep - prices per 100 kg live weight","123.91"
"Lithuania","2002","Euro","Sheep - prices per 100 kg live weight","113.49"
"Luxembourg","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Hungary","2002","Euro","Sheep - prices per 100 kg live weight","100.38"
"Malta","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Netherlands","2002","Euro","Sheep - prices per 100 kg live weight","110.25"
"Austria","2002","Euro","Sheep - prices per 100 kg live weight","78.00"
"Poland","2002","Euro","Sheep - prices per 100 kg live weight","158.68"
"Portugal","2002","Euro","Sheep - prices per 100 kg live weight","97.10"
"Romania","2002","Euro","Sheep - prices per 100 kg live weight","107.89"
"Slovenia","2002","Euro","Sheep - prices per 100 kg live weight","131.10"
"Slovakia","2002","Euro","Sheep - prices per 100 kg live weight","148.62"
"Finland","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Sweden","2002","Euro","Sheep - prices per 100 kg live weight",":"
"United Kingdom","2002","Euro","Sheep - prices per 100 kg live weight","91.77"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2002","Euro","Sheep - prices per 100 kg live weight",":"
"Belgium","2003","Euro","Sheep - prices per 100 kg live weight","166.81"
"Bulgaria","2003","Euro","Sheep - prices per 100 kg live weight","69.12"
"Czechia","2003","Euro","Sheep - prices per 100 kg live weight","60.70"
"Denmark","2003","Euro","Sheep - prices per 100 kg live weight","18.44"
"Germany (until 1990 former territory of the FRG)","2003","Euro","Sheep - prices per 100 kg live weight","59.47"
"Estonia","2003","Euro","Sheep - prices per 100 kg live weight",":"
"Ireland","2003","Euro","Sheep - prices per 100 kg live weight","154.50"
"Greece","2003","Euro","Sheep - prices per 100 kg live weight","130.20"
"Spain","2003","Euro","Sheep - prices per 100 kg live weight","33.92"
"France","2003","Euro","Sheep - prices per 100 kg live weight",":"
"Croatia","2003","Euro","Sheep - prices per 100 kg live weight",":"
"Italy","2003","Euro","Sheep - prices per 100 kg live weight",":"
"Cyprus","2003","Euro","Sheep - prices per 100 kg live weight",":"
"Latvia","2003","Euro","Sheep - prices per 100 kg live weight","107.65"
"Lithuania","2003","Euro","Sheep - prices per 100 kg live weight","122.22"
"Luxembourg","2003","Euro","Sheep - prices per 100 kg live weight",":"
"Hungary","2003","Euro","Sheep - prices per 100 kg live weight","126.92"
"Malta","2003","Euro","Sheep - prices per 100 kg live weight",":"
"Netherlands","2003","Euro","Sheep - prices per 100 kg live weight","107.00"
"Austria","2003","Euro","Sheep - prices per 100 kg live weight","68.00"
"Poland","2003","Euro","Sheep - prices per 100 kg live weight","155.81"
"Portugal","2003","Euro","Sheep - prices per 100 kg live weight","89.42"
"Romania","2003","Euro","Sheep - prices per 100 kg live weight","94.56"
"Slovenia","2003","Euro","Sheep - prices per 100 kg live weight","107.21"
"Slovakia","2003","Euro","Sheep - prices per 100 kg live weight","124.66"
"Finland","2003","Euro","Sheep - prices per 100 kg live weight",":"
"Sweden","2003","Euro","Sheep - prices per 100 kg live weight",":"
"United Kingdom","2003","Euro","Sheep - prices per 100 kg live weight","100.13"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2003","Euro","Sheep - prices per 100 kg live weight",":"
"Belgium","2004","Euro","Sheep - prices per 100 kg live weight",":"
"Bulgaria","2004","Euro","Sheep - prices per 100 kg live weight","63.51"
"Czechia","2004","Euro","Sheep - prices per 100 kg live weight","56.67"
"Denmark","2004","Euro","Sheep - prices per 100 kg live weight","18.55"
"Germany (until 1990 former territory of the FRG)","2004","Euro","Sheep - prices per 100 kg live weight","57.56"
"Estonia","2004","Euro","Sheep - prices per 100 kg live weight",":"
"Ireland","2004","Euro","Sheep - prices per 100 kg live weight","153.89"
"Greece","2004","Euro","Sheep - prices per 100 kg live weight","129.55"
"Spain","2004","Euro","Sheep - prices per 100 kg live weight","31.35"
"France","2004","Euro","Sheep - prices per 100 kg live weight",":"
"Croatia","2004","Euro","Sheep - prices per 100 kg live weight",":"
"Italy","2004","Euro","Sheep - prices per 100 kg live weight",":"
"Cyprus","2004","Euro","Sheep - prices per 100 kg live weight",":"
"Latvia","2004","Euro","Sheep - prices per 100 kg live weight","73.44"
"Lithuania","2004","Euro","Sheep - prices per 100 kg live weight","125.62"
"Luxembourg","2004","Euro","Sheep - prices per 100 kg live weight",":"
"Hungary","2004","Euro","Sheep - prices per 100 kg live weight","107.58"
