"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Belgium","2000","Euro","Goats - prices per 100 kg live weight",":"
"Bulgaria","2000","Euro","Goats - prices per 100 kg live weight","38.42"
"Czechia","2000","Euro","Goats - prices per 100 kg live weight",":"
"Denmark","2000","Euro","Goats - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2000","Euro","Goats - prices per 100 kg live weight",":"
"Estonia","2000","Euro","Goats - prices per 100 kg live weight",":"
"Ireland","2000","Euro","Goats - prices per 100 kg live weight",":"
"Greece","2000","Euro","Goats - prices per 100 kg live weight","132.83"
"Spain","2000","Euro","Goats - prices per 100 kg live weight","41.09"
"France","2000","Euro","Goats - prices per 100 kg live weight",":"
"Croatia","2000","Euro","Goats - prices per 100 kg live weight",":"
"Italy","2000","Euro","Goats - prices per 100 kg live weight",":"
"Cyprus","2000","Euro","Goats - prices per 100 kg live weight",":"
"Latvia","2000","Euro","Goats - prices per 100 kg live weight",":"
"Lithuania","2000","Euro","Goats - prices per 100 kg live weight",":"
"Luxembourg","2000","Euro","Goats - prices per 100 kg live weight",":"
"Hungary","2000","Euro","Goats - prices per 100 kg live weight",":"
"Malta","2000","Euro","Goats - prices per 100 kg live weight",":"
"Netherlands","2000","Euro","Goats - prices per 100 kg live weight",":"
"Austria","2000","Euro","Goats - prices per 100 kg live weight",":"
"Poland","2000","Euro","Goats - prices per 100 kg live weight",":"
"Portugal","2000","Euro","Goats - prices per 100 kg live weight","125.42"
"Romania","2000","Euro","Goats - prices per 100 kg live weight",":"
"Slovenia","2000","Euro","Goats - prices per 100 kg live weight",":"
"Slovakia","2000","Euro","Goats - prices per 100 kg live weight","85.65"
"Finland","2000","Euro","Goats - prices per 100 kg live weight",":"
"Sweden","2000","Euro","Goats - prices per 100 kg live weight",":"
"United Kingdom","2000","Euro","Goats - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2000","Euro","Goats - prices per 100 kg live weight",":"
"Belgium","2001","Euro","Goats - prices per 100 kg live weight",":"
"Bulgaria","2001","Euro","Goats - prices per 100 kg live weight","78.02"
"Czechia","2001","Euro","Goats - prices per 100 kg live weight",":"
"Denmark","2001","Euro","Goats - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2001","Euro","Goats - prices per 100 kg live weight",":"
"Estonia","2001","Euro","Goats - prices per 100 kg live weight",":"
"Ireland","2001","Euro","Goats - prices per 100 kg live weight",":"
"Greece","2001","Euro","Goats - prices per 100 kg live weight","138.87"
"Spain","2001","Euro","Goats - prices per 100 kg live weight","47.43"
"France","2001","Euro","Goats - prices per 100 kg live weight",":"
"Croatia","2001","Euro","Goats - prices per 100 kg live weight",":"
"Italy","2001","Euro","Goats - prices per 100 kg live weight",":"
"Cyprus","2001","Euro","Goats - prices per 100 kg live weight",":"
"Latvia","2001","Euro","Goats - prices per 100 kg live weight",":"
"Lithuania","2001","Euro","Goats - prices per 100 kg live weight",":"
"Luxembourg","2001","Euro","Goats - prices per 100 kg live weight",":"
"Hungary","2001","Euro","Goats - prices per 100 kg live weight",":"
"Malta","2001","Euro","Goats - prices per 100 kg live weight",":"
"Netherlands","2001","Euro","Goats - prices per 100 kg live weight",":"
"Austria","2001","Euro","Goats - prices per 100 kg live weight",":"
"Poland","2001","Euro","Goats - prices per 100 kg live weight",":"
"Portugal","2001","Euro","Goats - prices per 100 kg live weight","81.65"
"Romania","2001","Euro","Goats - prices per 100 kg live weight",":"
"Slovenia","2001","Euro","Goats - prices per 100 kg live weight",":"
"Slovakia","2001","Euro","Goats - prices per 100 kg live weight","79.26"
"Finland","2001","Euro","Goats - prices per 100 kg live weight",":"
"Sweden","2001","Euro","Goats - prices per 100 kg live weight",":"
"United Kingdom","2001","Euro","Goats - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2001","Euro","Goats - prices per 100 kg live weight",":"
"Belgium","2002","Euro","Goats - prices per 100 kg live weight",":"
"Bulgaria","2002","Euro","Goats - prices per 100 kg live weight","68.40"
"Czechia","2002","Euro","Goats - prices per 100 kg live weight",":"
"Denmark","2002","Euro","Goats - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2002","Euro","Goats - prices per 100 kg live weight",":"
"Estonia","2002","Euro","Goats - prices per 100 kg live weight",":"
"Ireland","2002","Euro","Goats - prices per 100 kg live weight",":"
"Greece","2002","Euro","Goats - prices per 100 kg live weight","146.13"
"Spain","2002","Euro","Goats - prices per 100 kg live weight","49.97"
"France","2002","Euro","Goats - prices per 100 kg live weight",":"
"Croatia","2002","Euro","Goats - prices per 100 kg live weight",":"
"Italy","2002","Euro","Goats - prices per 100 kg live weight",":"
"Cyprus","2002","Euro","Goats - prices per 100 kg live weight",":"
"Latvia","2002","Euro","Goats - prices per 100 kg live weight","54.92"
"Lithuania","2002","Euro","Goats - prices per 100 kg live weight",":"
"Luxembourg","2002","Euro","Goats - prices per 100 kg live weight",":"
"Hungary","2002","Euro","Goats - prices per 100 kg live weight",":"
"Malta","2002","Euro","Goats - prices per 100 kg live weight",":"
"Netherlands","2002","Euro","Goats - prices per 100 kg live weight",":"
"Austria","2002","Euro","Goats - prices per 100 kg live weight",":"
"Poland","2002","Euro","Goats - prices per 100 kg live weight",":"
"Portugal","2002","Euro","Goats - prices per 100 kg live weight","125.56"
"Romania","2002","Euro","Goats - prices per 100 kg live weight",":"
"Slovenia","2002","Euro","Goats - prices per 100 kg live weight",":"
"Slovakia","2002","Euro","Goats - prices per 100 kg live weight","105.24"
"Finland","2002","Euro","Goats - prices per 100 kg live weight",":"
"Sweden","2002","Euro","Goats - prices per 100 kg live weight",":"
"United Kingdom","2002","Euro","Goats - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2002","Euro","Goats - prices per 100 kg live weight",":"
"Belgium","2003","Euro","Goats - prices per 100 kg live weight",":"
"Bulgaria","2003","Euro","Goats - prices per 100 kg live weight","52.29"
"Czechia","2003","Euro","Goats - prices per 100 kg live weight",":"
"Denmark","2003","Euro","Goats - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2003","Euro","Goats - prices per 100 kg live weight",":"
"Estonia","2003","Euro","Goats - prices per 100 kg live weight",":"
"Ireland","2003","Euro","Goats - prices per 100 kg live weight",":"
"Greece","2003","Euro","Goats - prices per 100 kg live weight","153.06"
"Spain","2003","Euro","Goats - prices per 100 kg live weight","45.23"
"France","2003","Euro","Goats - prices per 100 kg live weight",":"
"Croatia","2003","Euro","Goats - prices per 100 kg live weight",":"
"Italy","2003","Euro","Goats - prices per 100 kg live weight",":"
"Cyprus","2003","Euro","Goats - prices per 100 kg live weight",":"
"Latvia","2003","Euro","Goats - prices per 100 kg live weight","45.45"
"Lithuania","2003","Euro","Goats - prices per 100 kg live weight",":"
"Luxembourg","2003","Euro","Goats - prices per 100 kg live weight",":"
"Hungary","2003","Euro","Goats - prices per 100 kg live weight",":"
"Malta","2003","Euro","Goats - prices per 100 kg live weight",":"
"Netherlands","2003","Euro","Goats - prices per 100 kg live weight",":"
"Austria","2003","Euro","Goats - prices per 100 kg live weight",":"
"Poland","2003","Euro","Goats - prices per 100 kg live weight",":"
"Portugal","2003","Euro","Goats - prices per 100 kg live weight","124.24"
"Romania","2003","Euro","Goats - prices per 100 kg live weight",":"
"Slovenia","2003","Euro","Goats - prices per 100 kg live weight",":"
"Slovakia","2003","Euro","Goats - prices per 100 kg live weight","54.40"
"Finland","2003","Euro","Goats - prices per 100 kg live weight",":"
"Sweden","2003","Euro","Goats - prices per 100 kg live weight",":"
"United Kingdom","2003","Euro","Goats - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2003","Euro","Goats - prices per 100 kg live weight",":"
"Belgium","2004","Euro","Goats - prices per 100 kg live weight",":"
"Bulgaria","2004","Euro","Goats - prices per 100 kg live weight","50.06"
"Czechia","2004","Euro","Goats - prices per 100 kg live weight",":"
"Denmark","2004","Euro","Goats - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2004","Euro","Goats - prices per 100 kg live weight",":"
"Estonia","2004","Euro","Goats - prices per 100 kg live weight",":"
"Ireland","2004","Euro","Goats - prices per 100 kg live weight",":"
"Greece","2004","Euro","Goats - prices per 100 kg live weight","150.10"
"Spain","2004","Euro","Goats - prices per 100 kg live weight","52.42"
"France","2004","Euro","Goats - prices per 100 kg live weight",":"
"Croatia","2004","Euro","Goats - prices per 100 kg live weight",":"
"Italy","2004","Euro","Goats - prices per 100 kg live weight",":"
"Cyprus","2004","Euro","Goats - prices per 100 kg live weight",":"
"Latvia","2004","Euro","Goats - prices per 100 kg live weight","66.63"
"Lithuania","2004","Euro","Goats - prices per 100 kg live weight",":"
"Luxembourg","2004","Euro","Goats - prices per 100 kg live weight",":"
"Hungary","2004","Euro","Goats - prices per 100 kg live weight",":"
"Malta","2004","Euro","Goats - prices per 100 kg live weight",":"
"Netherlands","2004","Euro","Goats - prices per 100 kg live weight",":"
"Austria","2004","Euro","Goats - prices per 100 kg live weight",":"
"Poland","2004","Euro","Goats - prices per 100 kg live weight",":"
"Portugal","2004","Euro","Goats - prices per 100 kg live weight","125.06"
"Romania","2004","Euro","Goats - prices per 100 kg live weight",":"
"Slovenia","2004","Euro","Goats - prices per 100 kg live weight",":"
"Slovakia","2004","Euro","Goats - prices per 100 kg live weight","59.02"
"Finland","2004","Euro","Goats - prices per 100 kg live weight",":"
"Sweden","2004","Euro","Goats - prices per 100 kg live weight",":"
"United Kingdom","2004","Euro","Goats - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2004","Euro","Goats - prices per 100 kg live weight",":"
"Belgium","2005","Euro","Goats - prices per 100 kg live weight",":"
"Bulgaria","2005","Euro","Goats - prices per 100 kg live weight","53.28"
"Czechia","2005","Euro","Goats - prices per 100 kg live weight",":"
"Denmark","2005","Euro","Goats - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2005","Euro","Goats - prices per 100 kg live weight",":"
"Estonia","2005","Euro","Goats - prices per 100 kg live weight",":"
"Ireland","2005","Euro","Goats - prices per 100 kg live weight",":"
"Greece","2005","Euro","Goats - prices per 100 kg live weight","156.09"
"Spain","2005","Euro","Goats - prices per 100 kg live weight","42.82"
"France","2005","Euro","Goats - prices per 100 kg live weight",":"
"Croatia","2005","Euro","Goats - prices per 100 kg live weight",":"
"Italy","2005","Euro","Goats - prices per 100 kg live weight",":"
"Cyprus","2005","Euro","Goats - prices per 100 kg live weight","269.96"
"Latvia","2005","Euro","Goats - prices per 100 kg live weight","54.25"
"Lithuania","2005","Euro","Goats - prices per 100 kg live weight",":"
"Luxembourg","2005","Euro","Goats - prices per 100 kg live weight",":"
"Hungary","2005","Euro","Goats - prices per 100 kg live weight",":"
"Malta","2005","Euro","Goats - prices per 100 kg live weight",":"
"Netherlands","2005","Euro","Goats - prices per 100 kg live weight",":"
"Austria","2005","Euro","Goats - prices per 100 kg live weight",":"
"Poland","2005","Euro","Goats - prices per 100 kg live weight",":"
"Portugal","2005","Euro","Goats - prices per 100 kg live weight","52.91"
"Romania","2005","Euro","Goats - prices per 100 kg live weight",":"
"Slovenia","2005","Euro","Goats - prices per 100 kg live weight",":"
"Slovakia","2005","Euro","Goats - prices per 100 kg live weight","120.62"
"Finland","2005","Euro","Goats - prices per 100 kg live weight",":"
"Sweden","2005","Euro","Goats - prices per 100 kg live weight",":"
"United Kingdom","2005","Euro","Goats - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2005","Euro","Goats - prices per 100 kg live weight",":"
"Belgium","2006","Euro","Goats - prices per 100 kg live weight",":"
"Bulgaria","2006","Euro","Goats - prices per 100 kg live weight","58.96"
"Czechia","2006","Euro","Goats - prices per 100 kg live weight",":"
"Denmark","2006","Euro","Goats - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2006","Euro","Goats - prices per 100 kg live weight",":"
"Estonia","2006","Euro","Goats - prices per 100 kg live weight",":"
"Ireland","2006","Euro","Goats - prices per 100 kg live weight",":"
"Greece","2006","Euro","Goats - prices per 100 kg live weight","158.18"
"Spain","2006","Euro","Goats - prices per 100 kg live weight","53.49"
"France","2006","Euro","Goats - prices per 100 kg live weight",":"
"Croatia","2006","Euro","Goats - prices per 100 kg live weight",":"
"Italy","2006","Euro","Goats - prices per 100 kg live weight",":"
"Cyprus","2006","Euro","Goats - prices per 100 kg live weight","256.3"
"Latvia","2006","Euro","Goats - prices per 100 kg live weight","76.53"
"Lithuania","2006","Euro","Goats - prices per 100 kg live weight",":"
"Luxembourg","2006","Euro","Goats - prices per 100 kg live weight",":"
"Hungary","2006","Euro","Goats - prices per 100 kg live weight",":"
"Malta","2006","Euro","Goats - prices per 100 kg live weight",":"
"Netherlands","2006","Euro","Goats - prices per 100 kg live weight",":"
"Austria","2006","Euro","Goats - prices per 100 kg live weight",":"
"Poland","2006","Euro","Goats - prices per 100 kg live weight",":"
"Portugal","2006","Euro","Goats - prices per 100 kg live weight","52.46"
"Romania","2006","Euro","Goats - prices per 100 kg live weight",":"
"Slovenia","2006","Euro","Goats - prices per 100 kg live weight",":"
"Slovakia","2006","Euro","Goats - prices per 100 kg live weight","121.77"
"Finland","2006","Euro","Goats - prices per 100 kg live weight",":"
"Sweden","2006","Euro","Goats - prices per 100 kg live weight",":"
"United Kingdom","2006","Euro","Goats - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2006","Euro","Goats - prices per 100 kg live weight",":"
"Belgium","2007","Euro","Goats - prices per 100 kg live weight",":"
"Bulgaria","2007","Euro","Goats - prices per 100 kg live weight","69.13"
"Czechia","2007","Euro","Goats - prices per 100 kg live weight",":"
"Denmark","2007","Euro","Goats - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2007","Euro","Goats - prices per 100 kg live weight",":"
"Estonia","2007","Euro","Goats - prices per 100 kg live weight",":"
"Ireland","2007","Euro","Goats - prices per 100 kg live weight",":"
"Greece","2007","Euro","Goats - prices per 100 kg live weight","158.87"
