"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Belgium","2000","Euro","Cows - prices per 100 kg live weight",":"
"Bulgaria","2000","Euro","Cows - prices per 100 kg live weight",":"
"Czechia","2000","Euro","Cows - prices per 100 kg live weight","76.11"
"Denmark","2000","Euro","Cows - prices per 100 kg live weight","92.03"
"Germany (until 1990 former territory of the FRG)","2000","Euro","Cows - prices per 100 kg live weight",":"
"Estonia","2000","Euro","Cows - prices per 100 kg live weight",":"
"Ireland","2000","Euro","Cows - prices per 100 kg live weight",":"
"Greece","2000","Euro","Cows - prices per 100 kg live weight","108.71"
"Spain","2000","Euro","Cows - prices per 100 kg live weight","84.90"
"France","2000","Euro","Cows - prices per 100 kg live weight",":"
"Croatia","2000","Euro","Cows - prices per 100 kg live weight",":"
"Italy","2000","Euro","Cows - prices per 100 kg live weight",":"
"Cyprus","2000","Euro","Cows - prices per 100 kg live weight",":"
"Latvia","2000","Euro","Cows - prices per 100 kg live weight",":"
"Lithuania","2000","Euro","Cows - prices per 100 kg live weight","41.61"
"Luxembourg","2000","Euro","Cows - prices per 100 kg live weight",":"
"Hungary","2000","Euro","Cows - prices per 100 kg live weight","94.41"
"Malta","2000","Euro","Cows - prices per 100 kg live weight",":"
"Netherlands","2000","Euro","Cows - prices per 100 kg live weight","104.35"
"Austria","2000","Euro","Cows - prices per 100 kg live weight","93.56"
"Poland","2000","Euro","Cows - prices per 100 kg live weight",":"
"Portugal","2000","Euro","Cows - prices per 100 kg live weight","84.58"
"Romania","2000","Euro","Cows - prices per 100 kg live weight","66.06"
"Slovenia","2000","Euro","Cows - prices per 100 kg live weight","76.62"
"Slovakia","2000","Euro","Cows - prices per 100 kg live weight","62.72"
"Finland","2000","Euro","Cows - prices per 100 kg live weight",":"
"Sweden","2000","Euro","Cows - prices per 100 kg live weight",":"
"United Kingdom","2000","Euro","Cows - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2000","Euro","Cows - prices per 100 kg live weight",":"
"Belgium","2001","Euro","Cows - prices per 100 kg live weight",":"
"Bulgaria","2001","Euro","Cows - prices per 100 kg live weight","65.34"
"Czechia","2001","Euro","Cows - prices per 100 kg live weight","64.21"
"Denmark","2001","Euro","Cows - prices per 100 kg live weight","83.06"
